"","x"
"225",0
"226",0
"227",0
"228",0
"229",1
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",1
"247",0
"248",1
"249",0
"250",0
"251",0
"252",0
"253",1
"254",0
"255",0
"256",1
"257",1
"258",0
"259",0
"260",0
"261",0
"262",1
"263",1
"264",0
"265",0
"266",0
"267",0
"268",1
"269",0
"270",0
"271",0
"272",0
"273",1
"274",0
"275",0
"276",0
"277",0
"278",1
"279",0
"280",1
"281",0
"282",1
"283",1
"284",0
"285",0
"286",0
"287",0
"288",0
"289",1
"290",1
"291",0
"292",1
"293",1
"294",0
"295",0
"296",1
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",1
"306",0
"307",1
"308",0
"309",1
"310",0
"311",0
"312",0
"313",1
"314",0
"315",1
"316",1
"317",1
"318",0
"319",0
"320",0
"321",0
"322",1
"323",1
"324",0
"325",0
"326",0
"327",0
"328",1
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",1
"336",0
"337",0
"338",0
"339",1
"340",0
"341",0
"342",0
"343",1
"344",1
"345",0
"346",0
"347",0
"348",1
"349",0
"350",1
"351",0
"352",0
"353",1
"354",0
"355",1
"356",1
"357",0
"358",0
"359",1
"360",1
"361",1
"362",1
"363",0
"364",1
"365",0
"366",1
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",1
"375",1
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",1
"386",0
"387",1
"388",0
"389",0
"390",0
"391",1
"392",1
"393",0
"394",1
"395",0
"396",0
"397",1
"398",0
"399",0
"400",0
"401",0
"402",0
"403",1
"404",0
"405",0
"406",0
"407",0
"408",1
"409",1
"410",0
"411",0
"412",0
"413",1
"414",1
"415",0
"416",0
"417",0
"418",0
"419",1
"420",0
"421",0
"422",0
"423",1
"424",0
"425",1
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",1
"433",0
"434",0
"435",1
"436",1
"437",1
"438",1
"439",1
"440",0
"441",0
"442",0
"443",1
"444",1
"445",0
"446",0
"447",1
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",1
"456",0
"457",0
"458",1
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",1
"469",0
"470",1
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",1
"479",0
"480",0
"481",1
"482",0
"483",0
"484",1
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",1
"496",0
"497",1
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",1
"505",1
"506",1
"507",1
"508",1
"509",0
"510",0
"511",1
"512",0
"513",1
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",1
"522",1
"523",0
"524",1
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",1
"535",1
"536",0
"537",1
"538",0
"539",0
"540",1
"541",1
"542",0
"543",0
"544",1
"545",0
"546",1
"547",0
"548",0
"549",1
"550",0
"551",1
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",1
"559",1
"560",0
"561",1
"562",1
"563",0
"564",0
"565",0
"566",0
"567",1
"568",0
"569",0
"570",0
"571",0
"572",1
"573",0
"574",0
"575",1
"576",1
"577",0
"578",0
"579",0
"580",1
"581",0
"582",1
"583",0
"584",0
"585",0
"586",1
"587",1
"588",0
"589",0
"590",1
"591",0
"592",1
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",1
"600",0
"601",0
"602",0
"603",1
"604",0
"605",0
"606",0
"607",1
"608",1
"609",0
"610",1
"611",0
"612",1
"613",0
"614",1
"615",1
"616",0
"617",1
"618",1
"619",0
"620",0
"621",0
"622",0
"623",1
"624",0
"625",1
"626",1
"627",0
"628",0
"629",0
"630",1
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",1
"638",0
"639",0
"640",1
"641",1
"642",1
"643",1
"644",0
"645",0
"646",0
"647",1
"648",0
"649",0
"650",0
"651",1
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",1
"659",0
"660",0
"661",1
"662",0
"663",1
"664",1
"665",1
"666",0
"667",0
"668",1
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",1
"682",0
"683",1
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0
"690",1
"691",0
"692",0
"693",0
"694",0
"695",1
"696",1
"697",0
"698",1
"699",1
"700",1
"701",0
"702",1
"703",0
"704",1
"705",1
"706",1
"707",0
"708",1
"709",1
"710",0
"711",0
"712",0
"713",0
"714",0
"715",1
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",1
"725",0
"726",1
"727",0
"728",1
"729",0
"730",1
"731",0
"732",1
"733",0
"734",0
"735",0
"736",1
"737",0
"738",0
"739",1
"740",1
"741",0
"742",1
"743",1
"744",0
"745",0
"746",1
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",1
"757",0
"758",0
"759",1
"760",1
"761",1
"762",1
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",0
"770",1
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",1
"780",0
"781",0
"782",0
"783",1
"784",1
"785",0
"786",0
"787",0
"788",1
"789",0
"790",1
"791",0
"792",0
"793",0
"794",0
"795",1
"796",0
"797",0
"798",1
"799",0
"800",0
"801",1
"802",0
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",1
"810",0
"811",0
"812",1
"813",0
"814",0
"815",0
"816",1
"817",1
"818",0
"819",1
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",1
"830",1
"831",0
"832",0
"833",1
"834",0
"835",1
"836",0
"837",0
"838",1
"839",0
"840",0
"841",0
"842",0
"843",0
"844",1
"845",0
"846",0
"847",0
"848",0
"849",1
"850",0
"851",0
"852",1
"853",0
"854",0
"855",0
"856",1
"857",1
"858",1
"859",0
"860",0
"861",1
"862",0
"863",0
"864",0
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",1
"875",0
"876",0
"877",1
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",1
"885",0
"886",0
"887",0
"888",0
"889",1
"890",1
"891",0
"892",1
"893",0
"894",0
"895",0
"896",1
"897",1
"898",0
"899",0
"900",1
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",1
"908",0
"909",1
"910",1
"911",1
"912",1
"913",0
"914",0
"915",1
"916",0
"917",1
"918",0
"919",1
"920",1
"921",0
"922",0
"923",0
"924",1
"925",0
"926",1
"927",0
"928",0
"929",0
"930",0
"931",0
"932",0
"933",0
"934",0
"935",0
"936",0
"937",0
"938",0
"939",0
"940",0
"941",0
"942",0
"943",0
"944",0
"945",0
"946",0
"947",0
"948",0
"949",0
"950",0
"951",1
"952",1
"953",0
"954",1
"955",0
"956",0
"957",1
"958",0
"959",1
"960",0
"961",0
"962",1
"963",0
"964",0
"965",0
"966",0
"967",1
"968",0
"969",1
"970",0
"971",0
"972",1
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",1
"980",0
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",0
"988",1
"989",0
"990",0
"991",1
"992",0
"993",0
"994",0
"995",1
"996",1
"997",0
"998",0
"999",0
"1000",1
